type;VaccPoint ;PointName;lat;long;y_proj;x_proj;comment;display;symbol;unused1;dist;prox_index;color;altitude;depth;temp;time;wpt_class;sub_class;attrib;link;state;country;city;address;facility;crossroad;unused2;ete;dtype;model;filename;ltime
WAYPOINT;ASA41;CENTRO DEPORTIVO APURIMAC;-16.37010616;-71.50886714;-16.37010616;-71.50886714; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA42;MERCADO APURIMAC;-16.37161554;-71.50995484;-16.37161554;-71.50995484; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA43;COMPLEJO DEPORTIVO ROLANDO JAUREGUI;-16.3720484;-71.51521297;-16.3720484;-71.51521297; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA44;P.S. LEONES DEL MISTI;-16.37003669;-71.50700863;-16.37003669;-71.50700863; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA45;COMPLEJO DEPORTE VILLA UNION;-16.36706491;-71.50365508;-16.36706491;-71.50365508; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA46;TERMINAL DE JAVIER HERAUD;-16.36573253;-71.50157105;-16.36573253;-71.50157105; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA47;CENTRO DEPORTIVO JUAN VELASCO ALVARADO;-16.37516569;-71.52191338;-16.37516569;-71.52191338; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA48;COMPLEJO DEPORTIVO LEONES DEL MISTI;-16.37079731;-71.50548322;-16.37079731;-71.50548322; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA49;COMPLEJO DEPORTIVO SAN LUIS;-16.36948429;-71.50401426;-16.36948429;-71.50401426; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA50;TERMINAL III BALCONES;-16.36451197;-71.50405063;-16.36451197;-71.50405063; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA51;COMPLEJO DEPORTIVO BELLA ESPERANZA;-16.36490028;-71.49976679;-16.36490028;-71.49976679; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA52;TERMINAL LOS ANGELES DEL MISTI;-16.35994827;-71.50160094;-16.35994827;-71.50160094; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA53;PROGRAMA MUNICIPAL;-16.36030755;-71.49610078;-16.36030755;-71.49610078; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA54;P.S. SAN JUAN BAUTISTA;-16.36877513;-71.51935471;-16.36877513;-71.51935471; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA55;COMPLEJO DEPORTIVO LEALTAD DEMOCRATICA;-16.36697785;-71.51614165;-16.36697785;-71.51614165; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA56;CAPILLA 1 DE ENERO;-16.37333024;-71.52795149;-16.37333024;-71.52795149; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA57;PARQUE LA FAMILIA;-16.36572422;-71.51941219;-16.36572422;-71.51941219; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA58;TERMINAL GRAN CHAPARRAL;-16.36344893;-71.50853049;-16.36344893;-71.50853049; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA59;TERMINAL DE VILLAS CHACHAS;-16.36448325;-71.51544239;-16.36448325;-71.51544239; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA60;VILLA INDEPENDIENTE ZONA B;-16.37031577;-71.52305161;-16.37031577;-71.52305161; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA61;PARQUE SAN LAZARO;-16.36461498;-71.52847533;-16.36461498;-71.52847533; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA62;LOCAL COMUNAL C.E.I.;-16.36110373;-71.52526017;-16.36110373;-71.52526017; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA63;CENTRO DEPORTIVO AMPLIACION VILLA ECOLOGICA;-16.35156376;-71.51868486;-16.35156376;-71.51868486; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA64;LOCAL SOCIAL VILLA UNION;-16.36842668;-71.50776967;-16.36842668;-71.50776967; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA65;CENTRO DEPORTIVO JAVIER HERAUD;-16.36707985;-71.50225215;-16.36707985;-71.50225215; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA66;IGLESIA CRISTO REY AV LAS TORRES;-16.37344272;-71.52060242;-16.37344272;-71.52060242; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA67;PARQUE LA COCA COLA;-16.3752523;-71.52861961;-16.3752523;-71.52861961; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA68;LOCAL COMUNAL 1RO ENERO;-16.37136324;-71.52574231;-16.37136324;-71.52574231; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA69;GRAN CHAPARRAL;-16.36506756;-71.51257389;-16.36506756;-71.51257389; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA70;PARADERO 3 VILLA ECOLOGICAS;-16.35184417;-71.52215941;-16.35184417;-71.52215941; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
